name,type,value,date
阿拉维斯,Alves Sales,37,25
皇家贝蒂斯,Real Betis,36,25
皇家社会,Real Sociedad,35,25
巴伦西亚,Valencia?,33,25
毕尔巴鄂竞技,Athletic Bilbao,33,25
埃瓦尔,Eibar,31,25
莱加内斯,Leganes,30,25
莱万特,Levante,30,25
西班牙人,RCD Espanyol,30,25
赫罗纳,Girona,28,25
瓦拉多利德,Real Valladolid,26,25
塞尔塔,Celta Vigo,25,25
比利亚雷亚尔,Villarreal,23,25
巴列卡诺,Rayo Vallecano,23,25
韦斯卡,SD Huesca,19,25
巴塞罗那,FC Barcelona,60,26
马德里竞技,Atletico Madrid,53,26
皇家马德里,Real Madrid,48,26
赫塔菲,Getafe,42,26
阿拉维斯,Alves Sales,40,26
塞维利亚,Sevilla,37,26
巴伦西亚,Valencia?,36,26
皇家贝蒂斯,Real Betis,36,26
皇家社会,Real Sociedad,35,26
埃瓦尔,Eibar,34,26
莱加内斯,Leganes,33,26
毕尔巴鄂竞技,Athletic Bilbao,33,26
西班牙人,RCD Espanyol,33,26
赫罗纳,Girona,31,26
莱万特,Levante,30,26
瓦拉多利德,Real Valladolid,26,26
塞尔塔,Celta Vigo,25,26
比利亚雷亚尔,Villarreal,23,26
巴列卡诺,Rayo Vallecano,23,26
韦斯卡,SD Huesca,22,26
